name,abbreviation,stage,draw_type,silent,feedback_weight,break_category,weight
Round 1,R1,preliminary,random,FALSE,0.3,,1
Round 2,R2,preliminary,power paired,FALSE,0.5,,1
Round 3,R3,preliminary,power paired,FALSE,0.6,,1
Round 4,R4,preliminary,power paired,TRUE,0.7,,1
Open Quarterfinal,OQF,elimination,elimination,TRUE,0.7,open,1
ESL Semifinal,SSF,elimination,elimination,TRUE,0.7,esl,1
Open Semifinal,OSF,elimination,elimination,TRUE,0.7,open,1
ESL Grand Final,SGF,elimination,elimination,TRUE,0.7,esl,1
Novice Grand Final,NGF,elimination,elimination,TRUE,0.7,novice,1
Open Grand Final,OGF,elimination,elimination,TRUE,0.7,open,1
